,Classes,Old Price,Price Change,New Price,date_range
1538,Mercedes GLC 300 Automtic / coupe / AMG 2022,"2,240,000 EGP","trending_up +225,000 EGP","2,465,000 EGP",7/26/2022
1539,Mercedes GLC 300 Automtic / coupe / AMG 2022,"1,950,000 EGP","trending_up +290,000 EGP","2,240,000 EGP",7/26/2022
1540,Mercedes GLC 200 Automtic / Stander 2022,"1,260,000 EGP","trending_up +130,000 EGP","1,390,000 EGP",7/26/2022
1541,Mercedes AMG GT A/T / 53 4M+4DOOR COUPE AMG 2022,"3,655,000 EGP","trending_up +395,000 EGP","4,050,000 EGP",7/26/2022
1542,Mercedes AMG GT A/T / 53 4M+4DOOR COUPE AMG 2022,"3,490,000 EGP","trending_up +165,000 EGP","3,655,000 EGP",7/26/2022
1543,Mercedes AMG GT A/T / 43-DOOR COUPE 2022,"2,970,000 EGP","trending_up +300,000 EGP","3,270,000 EGP",7/26/2022
1544,Mercedes GLS A/T / 580 class 2022,"2,730,000 EGP","trending_up +260,000 EGP","2,990,000 EGP",7/26/2022
1545,Mercedes CLS Class A/T / (350) coupe 2022,"1,865,000 EGP","trending_up +185,000 EGP","2,050,000 EGP",7/26/2022
1546,Mercedes GLA A/T / 200 Progressive 2022,"899,000 EGP","trending_up +36,000 EGP","935,000 EGP",7/26/2022
1547,Mercedes S 450 A/T / LONG EXECUTIVE 2022,"3,365,000 EGP","trending_up +335,000 EGP","3,700,000 EGP",7/26/2022
1548,Mercedes Maybach Automtic 2022,"5,720,000 EGP","trending_up +570,000 EGP","6,290,000 EGP",7/26/2022
1549,Mercedes G Class A/T / AMG G 63 / NIGHT EDITION 2022,"4,935,000 EGP","trending_up +515,000 EGP","5,450,000 EGP",7/26/2022
1550,Mercedes G Class A/T / AMG G 63 2022,"4,860,000 EGP","trending_up +490,000 EGP","5,350,000 EGP",7/26/2022
1551,Mercedes G Class A/T / AMG G 63 2022,"4,630,000 EGP","trending_up +230,000 EGP","4,860,000 EGP",7/26/2022
1552,Mercedes G Class A/T / 500 2022,"3,675,000 EGP","trending_up +425,000 EGP","4,100,000 EGP",7/26/2022
1553,Mercedes E 53 AMG A/T / AMG 2022,"2,810,000 EGP","trending_up +290,000 EGP","3,100,000 EGP",7/26/2022
1554,Mercedes E 53 AMG A/T / AMG 2022,"2,675,000 EGP","trending_up +135,000 EGP","2,810,000 EGP",7/26/2022
1555,Mercedes E 200 A/T / Cabrio AMG 2022,"1,625,000 EGP","trending_up +165,000 EGP","1,790,000 EGP",7/26/2022
1556,Mercedes E 200 A/T / Cabrio AMG 2022,"1,545,000 EGP","trending_up +80,000 EGP","1,625,000 EGP",7/26/2022
1557,Mercedes E 200 A/T / Coupe AMG 2022,"1,574,000 EGP","trending_up +156,000 EGP","1,730,000 EGP",7/26/2022
1558,Mercedes E 200 A/T / Coupe AMG 2022,"1,500,000 EGP","trending_up +74,000 EGP","1,574,000 EGP",7/26/2022
1559,Mercedes E 200 A/T / AVANTGARDE 2022,"1,455,000 EGP","trending_up +145,000 EGP","1,600,000 EGP",7/26/2022
1560,Mercedes E 200 A/T / AVANTGARDE 2022,"1,410,000 EGP","trending_up +45,000 EGP","1,455,000 EGP",7/26/2022
1561,Mercedes E 200 A/T / PREMIUM 2022,"1,305,000 EGP","trending_up +130,000 EGP","1,435,000 EGP",7/26/2022
1562,Mercedes C 200 A/T / Sport 2022,"1,195,000 EGP","trending_up +120,000 EGP","1,315,000 EGP",7/26/2022
1563,Mercedes C 200 A/T / Sport 2022,"1,115,000 EGP","trending_up +80,000 EGP","1,195,000 EGP",7/26/2022
1564,Mercedes C 180 A/T / Sport 2022,"1,029,000 EGP","trending_up +101,000 EGP","1,130,000 EGP",7/26/2022
1565,Mercedes C 180 A/T / Sport 2022,"979,000 EGP","trending_up +50,000 EGP","1,029,000 EGP",7/26/2022
1566,Mercedes C 180 A/T / Avantgarde plus 2022,"1,015,000 EGP","trending_up +100,000 EGP","1,115,000 EGP",7/26/2022
1567,Mercedes B 200 A/T / SPORTS TOURER 2022,"740,000 EGP","trending_up +75,000 EGP","815,000 EGP",7/26/2022
1568,Mercedes A Class A/T / AMG A35 4M HATCHBACK 2022,"1,184,000 EGP","trending_up +116,000 EGP","1,300,000 EGP",7/26/2022
1569,Mercedes A Class A/T / AMG A35 4M HATCHBACK 2022,"1,125,000 EGP","trending_up +59,000 EGP","1,184,000 EGP",7/26/2022
1570,Mercedes A 200 A/T / PROGRESSIVE 2022,"735,000 EGP","trending_up +75,000 EGP","810,000 EGP",7/26/2022
1571,Mitsubishi Xpander Automatic / HL 2022,"444,000 EGP","trending_up +10,000 EGP","454,000  EGP",7/25/2022
1572,Mitsubishi Xpander Automatic / Midline 2022,"419,000 EGP","trending_up +10,000 EGP","429,000 EGP",7/25/2022
1573,"Peugeot 3008 A/T / GT Red interior with 10"" touch screen 2022","779,990 EGP","trending_up +15,000 EGP","794,990 EGP",7/24/2022
1574,"Peugeot 3008 A/T / GT with 10"" touch screen 2022","774,990 EGP","trending_up +15,000 EGP","789,990 EGP",7/24/2022
1575,"Peugeot 3008 A/T / Allure Pack with 10"" touch screen 2022","699,990 EGP","trending_up +15,000 EGP","714,990 EGP",7/24/2022
1576,"Peugeot 3008 A/T / Active Pack with 10"" touch screen 2022","649,990 EGP","trending_up +15,000 EGP","664,990 EGP",7/24/2022
1577,"Peugeot 5008 A/T / GT Red interior with 10"" touch screen 2022","839,990 EGP","trending_up +15,000 EGP","854,990 EGP",7/24/2022
1578,"Peugeot 5008 A/T / GT black pack with 10"" touch screen 2022","829,990 EGP","trending_up +15,000 EGP","844,990 EGP",7/24/2022
1579,"Peugeot 5008 A/T / Allure Pack with 10"" touch screen 2022","754,990 EGP","trending_up +15,000 EGP","769,990 EGP",7/24/2022
1580,"Peugeot 5008 A/T / Active Pack with 10"" touch screen 2022","704,990 EGP","trending_up +15,000 EGP","719,990 EGP",7/24/2022
1581,Peugeot 508 A/T / GT MAX 2022,"834,990 EGP","trending_up +15,000 EGP","849,990 EGP",7/24/2022
1582,Peugeot 508 A/T / GT Line Red Interior 2022,"745,990 EGP","trending_up +15,000 EGP","760,990 EGP",7/24/2022
1583,Peugeot 508 A/T / GT Line 2022,"739,990 EGP","trending_up +15,000 EGP","754,990 EGP",7/24/2022
1584,Peugeot 508 A/T / GT MAX Red Interior 2022,"839,990 EGP","trending_up +15,000 EGP","854,990 EGP",7/24/2022
1585,Peugeot 508 A/T / Allure Pack 2022,"683,990 EGP","trending_up +15,000 EGP","698,990 EGP",7/24/2022
1586,Peugeot 508 A/T / Active Pack 2022,"619,990 EGP","trending_up +15,000 EGP","634,990 EGP",7/24/2022
1587,Peugeot 2008 A/T / GT LINE 2022,"536,990 EGP","trending_up +10,000 EGP","546,990 EGP",7/24/2022
1588,Peugeot 2008 A/T / ALLURE 2022,"494,990 EGP","trending_up +10,000 EGP","504,990 EGP",7/24/2022
1589,Peugeot 2008 A/T / ACTIVE 2022,"459,990 EGP","trending_up +10,000 EGP","469,990 EGP",7/24/2022
1590,Peugeot 301 A/T / Allure 2022,"334,990 EGP","trending_up +5,000 EGP","339,990 EGP",7/24/2022
1591,Peugeot 301 A/T / Active 2022,"304,990  EGP","trending_up +5,000 EGP","309,990 EGP",7/24/2022
1592,Citroën C4 A/T / Red interior 2022,"589,900 EGP","trending_up +10,000 EGP","599,900 EGP",7/24/2022
1593,Citroën C4 A/T / Shine 2022,"584,900 EGP","trending_up +10,000 EGP","594,900 EGP",7/24/2022
1594,Citroën C4 A/T / Blue interior 2022,"539,900 EGP","trending_up +10,000 EGP","549,900 EGP",7/24/2022
1595,Citroën C4 A/T / Fell 2022,"534,900 EGP","trending_up +10,000 EGP","544,900 EGP",7/24/2022
1596,Citroën C3 Aircross A/T / Shine 2022,"466,900 EGP","trending_up +6,000 EGP","472,900 EGP",7/24/2022
1597,Citroën C3 Aircross A/T / Feel 2022,"424,900 EGP","trending_up +5,000 EGP","429,900 EGP",7/24/2022
1598,Citroën C3 A/T / Shine 2022,"404,900 EGP","trending_up +9,000 EGP","413,900 EGP",7/24/2022
1599,Citroën C3 A/T / Feel 2022,"354,900 EGP","trending_up +4,000 EGP","358,900 EGP",7/24/2022
1600,Citroën C Elysee A/T / Luxury 2022,"335,900 EGP","trending_up +9,000 EGP","344,900 EGP",7/24/2022
1601,Citroën C Elysee A/T / Comfort 2022,"305,900  EGP","trending_up +9,000 EGP","314,900 EGP",7/24/2022
1602,Citroën C5 Aircross A/T / SHINE 2022,"714,900 EGP","trending_up +20,000 EGP","734,900 EGP",7/24/2022
1603,Citroën C5 Aircross A/T / FEEL 2022,"664,900 EGP","trending_up +20,000 EGP","684,900 EGP",7/24/2022
1604,Citroën C5 Aircross A/T / Live 2022,"594,900 EGP","trending_up +20,000 EGP","614,900 EGP",7/24/2022
1605,Jac J7 A/T / Ultimate 2022,"424,900 EGP","trending_up +10,000 EGP","434,900 EGP",7/24/2022
1606,Jac J7 A/T / Deluxe 2022,"397,900 EGP","trending_up +10,000 EGP","407,900 EGP",7/24/2022
1607,Jac JS4 A/T / Utlimate 2022,"429,900 EGP","trending_up +10,000 EGP","439,900 EGP",7/24/2022
1608,Jac JS4 A/T / Deluxe 2022,"394,900 EGP","trending_up +10,000 EGP","404,900 EGP",7/24/2022
1609,Jac JS3 A/T / Smart 2022,"344,900 EGP","trending_up +10,000 EGP","354,900 EGP",7/24/2022
1610,Changan Alsvin A/T / L2 2022,"267,000 EGP","trending_up +3,000 EGP","270,000 EGP",7/24/2022
1611,Changan Alsvin A/T / L1 2022,"247,000 EGP","trending_up +3,000 EGP","250,000 EGP",7/24/2022
1612,Changan Alsvin MT‏ / L1 2022,"227,000 EGP","trending_up +3,000 EGP","230,000 EGP",7/24/2022
1613,Changan Eado A/T / L2 2022,"303,000 EGP","trending_up +7,000 EGP","310,000 EGP",7/24/2022
1614,Changan Eado A/T / L1 2022,"283,000 EGP","trending_up +7,000 EGP","290,000 EGP",7/24/2022
1615,Changan CS 35 Plus A/T / FLAGSHIP 2022,"460,000 EGP","trending_up +15,000 EGP","475,000 EGP",7/24/2022
1616,Changan CS 35 Plus A/T / PREMIUM 2022,"435,000 EGP","trending_up +15,000 EGP","450,000 EGP",7/24/2022
1617,Changan CS 35 Plus A/T / ELITE 2022,"414,000 EGP","trending_up +16,000 EGP","430,000 EGP",7/24/2022
1618,Changan CS 15 A/T / L2 2022,"319,900 EGP","trending_up +10,100 EGP","330,000 EGP",7/24/2022
1619,Changan CS 15 A/T / L1 2022,"299,900 EGP","trending_up +10,100 EGP","310,000 EGP",7/24/2022
1620,Volvo XC 40 A/T / Inscription 2022,"865,000 EGP","trending_up +185,000 EGP","1,050,000 EGP",7/20/2022
1621,Volvo XC90 A/T / Inscription 2022,"1,600,000 EGP","trending_up +350,000 EGP","1,950,000 EGP",7/20/2022
1622,Volvo XC90 A/T / Momentum 2022,"1,450,000 EGP","trending_up +320,000 EGP","1,770,000 EGP",7/20/2022
1623,Volvo XC60 A/T / R-Design 2022,"1,210,000 EGP","trending_up +280,000 EGP","1,490,000 EGP",7/20/2022
1624,Volvo XC60 A/T / Momentum 2022,"1,010,000 EGP","trending_up +230,000 EGP","1,240,000 EGP",7/20/2022
1625,Volvo XC 40 A/T / R-Design 2022,"820,000 EGP","trending_up +190,000 EGP","1,010,000 EGP",7/20/2022
1626,Volvo XC 40 A/T / Momentum 2022,"720,000 EGP","trending_up +190,000 EGP","910,000 EGP",7/20/2022
1627,Jeep Renegade A/T / Limited 4WD 2022,"550,000 EGP","trending_up +80,000 EGP","630,000 EGP",7/20/2022
1628,Jeep Renegade A/T / Limited Panorama 2022,"505,000 EGP","trending_up +75,000 EGP","580,000 EGP",7/20/2022
1629,Jeep Renegade A/T / Longitude 2022,"435,000 EGP","trending_up +64,900 EGP","499,900 EGP",7/20/2022
1630,Jeep Grand Cherokee ِAutomatic / Limited 2022,"1,225,000 EGP","trending_up +225,000 EGP","1,450,000 EGP",7/20/2022
1631,Alfa Romeo Giulietta A/T / Veloce 2022,"645,000 EGP","trending_up +5,000 EGP","650,000 EGP",7/20/2022
1632,Alfa Romeo Stelvio A/T / Super+ 2022,"1,150,000  EGP","trending_up +110,000 EGP","1,260,000 EGP",7/20/2022
1633,Alfa Romeo Stelvio A/T / Super 2022,"1,050,000 EGP","trending_up +100,000 EGP","1,150,000 EGP",7/20/2022
1634,Alfa Romeo Giulia A/T / Veloce 2022,"920,000 EGP","trending_up +130,000 EGP","1,050,000 EGP",7/20/2022
1635,Bestune T77 Pro A/T / Premium 2023,"535,000 EGP","trending_up +20,000 EGP","555,000 EGP",7/19/2022
1636,Bestune B70 A/T / Deluxe 2023,"535,000 EGP","trending_up +20,000 EGP","555,000 EGP",7/19/2022
1637,Bestune T55 A/T / PREMIUM PLUS 2023,"520,000 EGP","trending_up +20,000 EGP","540,000 EGP",7/19/2022
1638,Bestune T33 A/T / Premium 2023,"395,000 EGP","trending_up +20,000 EGP","415,000 EGP",7/19/2022
1639,Chery Tiggo 7 A/T / Highline 2023,"415,000 EGP","trending_up +5,000 EGP","420,000 EGP",7/18/2022
1640,Chery Tiggo 7 A/T / Baseline 2023,"380,000 EGP","trending_up +5,000 EGP","385,000 EGP",7/18/2022
1641,Chery Tiggo 3 Automtic / Tinted Glass 2023,"325,000 EGP","trending_up +5,000 EGP","330,000 EGP",7/18/2022
1642,Chery Arrizo 5 AT / HIGHLINE 2023,"280,000 EGP","trending_up +5,000  EGP","285,000 EGP",7/18/2022
1643,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"265,000 EGP","trending_up +5,000 EGP","270,000 EGP",7/18/2022
1644,Chery Arrizo 5 Manual / Base Line / Leather 2023,"240,000 EGP","trending_up +5,000 EGP","245,000 EGP",7/18/2022
1645,Opel Corsa A/T / Top line Plus 2022,"429,990 EGP","trending_up +10,000 EGP","439,990 EGP",7/18/2022
1646,Opel Corsa A/T / Elegance 2022,"409,990 EGP","trending_up +10,000 EGP","419,990 EGP",7/18/2022
1647,Opel Mokka A/T / GS Line 2022,"499,990 EGP","trending_up +60,000 EGP","559,990 EGP",7/18/2022
1648,Opel Mokka A/T / Elegance 2022,"464,990 EGP","trending_up +55,000 EGP","519,990 EGP",7/18/2022
1649,Opel Crossland A/T / Top Line 2022,"449,990 EGP","trending_up +10,000 EGP","459,990 EGP",7/18/2022
1650,Opel Crossland A/T / Elegance 2022,"419,990 EGP","trending_up +10,000 EGP","429,990 EGP",7/18/2022
1651,Toyota Corolla Automatic / Elgance 2022,"499,000 EGP","trending_up +35,000 EGP","534,000 EGP",7/18/2022
1652,Toyota Corolla Automtic / GR 2022,"490,000 EGP","trending_up +35,000 EGP","525,000 EGP",7/18/2022
1653,Toyota Corolla Automatic / SMART / Sun Roof 2022,"465,000 EGP","trending_up +35,000 EGP","500,000 EGP",7/18/2022
1654,Toyota Corolla Automtic / SMART 2022,"445,000 EGP","trending_up +35,000 EGP","480,000 EGP",7/18/2022
1655,Toyota Corolla Automatic / Comfort 2022,"425,000 EGP","trending_up +35,000 EGP","460,000 EGP",7/18/2022
1656,Toyota Corolla Manual‏ / Active 2022,"352,000 EGP","trending_up +73,000 EGP","425,000 EGP",7/18/2022
1657,Toyota C-HR Automtic 2022,"475,000 EGP","trending_up +50,000 EGP","525,000 EGP",7/18/2022
1658,Toyota Rush A/T / Highline 2022,"390,000 EGP","trending_up +40,000 EGP","430,000 EGP",7/18/2022
1659,Toyota Rush A/T / F/O 2022,"370,000 EGP","trending_up +40,000 EGP","410,000 EGP",7/18/2022
1660,Toyota Fortuner Automtic / ELEGANCE 2023,"1,100,000 EGP","trending_up +40,000 EGP","1,140,000 EGP",7/18/2022
1661,Toyota Fortuner A/T / Sport 2023,"1,140,000 EGP","trending_up +50,000  EGP","1,190,000 EGP",7/18/2022
1662,Toyota Fortuner A/T / SMART 2023,"950,000 EGP","trending_up +40,000 EGP","990,000 EGP",7/18/2022
1663,Toyota Yaris A/T / Smart 2022,"410,000 EGP","trending_up +35,000 EGP","445,000 EGP",7/18/2022
1664,Toyota Yaris A/T / Comfort 2022,"395,000 EGP","trending_up +50,000 EGP","445,000 EGP",7/18/2022
1665,Toyota Camry Automatic / High Line 2022,"2,155,000 EGP","trending_up +360,000 EGP","2,515,000 EGP",7/18/2022
1666,Toyota Rav 4 A/T / Full Option 2022,"1,855,000 EGP","trending_up +295,000 EGP","2,150,000 EGP",7/18/2022
1667,Toyota Prado A/T / Full option 2022,"2,390,000 EGP","trending_up +300,000 EGP","2,690,000 EGP",7/18/2022
1668,Toyota Rumion A/T / GLX 2022,"340,000 EGP","trending_up +40,000 EGP","380,000 EGP",7/18/2022
1669,Toyota Rumion A/T / GL 2022,"310,000 EGP","trending_up +40,000 EGP","350,000 EGP",7/18/2022
1670,Toyota Belta A/T / Smart 2022,"320,000 EGP","trending_up +45,000 EGP","365,000 EGP",7/18/2022
1671,Toyota Belta A/T / Active 2022,"285,000 EGP","trending_up +35,000 EGP","320,000 EGP",7/18/2022
1672,Hyundai Bayon A/T / Ultimate 2022,"465,000 EGP","trending_up +15,000 EGP","480,000 EGP",7/17/2022
1673,Hyundai Bayon A/T / Elite 2022,"445,000 EGP","trending_up +15,000 EGP","460,000 EGP",7/17/2022
1674,Hyundai Bayon A/T / Dynamic 2022,"425,000 EGP","trending_up +15,000 EGP","440,000 EGP",7/17/2022
1675,Hyundai Bayon AT / Spirit 2022,"400,000 EGP","trending_up +15,000 EGP","415,000 EGP",7/17/2022
1676,Hyundai I20 A/T / Ultimate 2022,"410,000 EGP","trending_up +15,000 EGP","425,000 EGP",7/17/2022
1677,Hyundai I20 A/T / Elite 2022,"400,000 EGP","trending_up +15,000 EGP","415,000 EGP",7/17/2022
1678,Hyundai I20 A/T / Dynamic 2022,"390,000 EGP","trending_up +15,000 EGP","405,000 EGP",7/17/2022
1679,Hyundai I20 A/T / SPIRIT 2022,"370,000 EGP","trending_up +15,000 EGP","385,000 EGP",7/17/2022
1680,DFSK 330S M/T / TOPLINE / gas 2022,"296,900 EGP","trending_up +10,000 EGP","306,900 EGP",7/4/2022
1681,DFSK 330S M/T/ Highline / gas 2022,"281,900 EGP","trending_up +10,000 EGP","291,900 EGP",7/4/2022
1682,DFSK 330S M/T / TOPLINE 2022,"284,900 EGP","trending_up +10,000 EGP","294,900 EGP",7/4/2022
1683,DFSK 330S M/T Highline 2022,"269,900 EGP","trending_up +10,000 EGP","279,900 EGP",7/4/2022
1684,DFSK 330S manual‏ / High line 2022,"253,900 EGP","trending_up +10,000 EGP","263,900 EGP",7/4/2022
1685,DFSK Eagle pro Automtic / red interior 2022,"494,900 EGP","trending_up +25,000 EGP","519,900  EGP",7/4/2022
1686,DFSK Eagle pro Automtic / Black interior 2022,"489,900 EGP","trending_up +25,000 EGP","514,900 EGP",7/4/2022
1687,MG 6 A/T / LUX / Red Interior) 2022,"450,000 EGP","trending_up +10,000 EGP","460,000 EGP",7/4/2022
1688,MG 6 A/T / LUX / Black interior 2022,"445,000 EGP","trending_up +8,000 EGP","453,000 EGP",7/4/2022
1689,MG 6 A/T / Comfort 2022,"425,000 EGP","trending_up +10,000 EGP","435,000 EGP",7/4/2022
1690,MG Rx5 A/T / Luxury 2022,"510,000 EGP","trending_up +20,000 EGP","530,000 EGP",7/4/2022
1691,MG Rx5 A/T / Comfort 2022,"480,000 EGP","trending_up +20,000 EGP","500,000 EGP",7/4/2022
1692,MG HS Automatic / LFC Edition 2022,"560,000 EGP","trending_up +20,000 EGP","580,000 EGP",7/4/2022
1693,MG HS A/T / Luxury Brown Interior 2022,"555,000 EGP","trending_up +20,000 EGP","575,000 EGP",7/4/2022
1694,MG HS A/T / Luxury Black Interior 2022,"550,000 EGP","trending_up +20,000 EGP","570,000 EGP",7/4/2022
1695,MG ZS Automatic / Luxury 2022,"400,000 EGP","trending_up +10,000 EGP","410,000 EGP",7/4/2022
1696,MG ZS Automatic / Comfort 2022,"385,000 EGP","trending_up +10,000 EGP","395,000 EGP",7/4/2022
1697,MG ZS Automatic / Classic 2022,"370,000 EGP","trending_up +10,000 EGP","380,000 EGP",7/4/2022
1698,MG 5 A/T / Luxury 2022,"350,000 EGP","trending_up +10,000 EGP","360,000 EGP",7/4/2022
1699,MG 5 A/T / Comfort 2022,"330,000 EGP","trending_up  +10,000 EGP","340,000 EGP",7/4/2022
1700,MG 5 A/T / Standard 2022,"310,000 EGP","trending_up +10,000 EGP","320,000 EGP",7/4/2022
1701,Nissan Sentra Automatic / upper 2023,"375,500 EGP","trending_up +5,000 EGP","380,500 EGP",7/4/2022
1702,Nissan Sunny A/T / Super Saloon 2023,"289,000 EGP","trending_up +3,000 EGP","292,000 EGP",7/4/2022
1703,Nissan Sunny A/T / plus 2023,"278,000 EGP","trending_up +3,000 EGP","281,000 EGP",7/4/2022
1704,Nissan Sunny Automatic / Baseline 2023,"264,500 EGP","trending_up +3,000 EGP","267,500 EGP",7/4/2022
1705,Nissan Sunny Manual‏ / Baseline 2023,"243,400 EGP","trending_up +3,000 EGP","246,400 EGP",7/4/2022
1706,Jetour X70 A/T / Luxury 2022,"359,800 EGP","trending_up +125,100 EGP","484,900 EGP",7/4/2022
1707,Jetour X70 A/T / Comfort 2022,"339,900 EGP","trending_up +100,000 EGP","439,900 EGP",7/4/2022
1708,Jetour X95 A/T / Highline 2022,"469,900 EGP","trending_up +150,000 EGP","619,900 EGP",7/4/2022
1709,Jetour X95 A/T / Full option 2022,"414,900 EGP","trending_up +155,000 EGP","569,900 EGP",7/4/2022
1710,Ssang Yong Tivoli A/T / Style 2022,"485,000 EGP","trending_up +44,000 EGP","529,000 EGP",7/4/2022
1711,Ssang Yong Tivoli A/T / Comfort 2022,"430,000 EGP","trending_up +55,000 EGP","485,000 EGP",7/4/2022
1712,Ssang Yong Tivoli XLV A/T / Style 2022,"480,000 EGP","trending_up +40,000 EGP","520,000 EGP",7/4/2022
1713,Ssang Yong Tivoli XLV A/T / Comfort 2022,"445,000 EGP","trending_up +20,000 EGP","465,000 EGP",7/4/2022
1714,Suzuki Swift Automatic / screen 2022,"287,400 EGP","trending_up +7,500 EGP","294,900 EGP",7/4/2022
1715,Suzuki Swift Automatic /without screen 2022,"277,400 EGP","trending_up +7,500 EGP","284,900 EGP",7/4/2022
1716,Suzuki Swift A/T / screen (2ton) 2022,"307,400 EGP","trending_up +7,500 EGP","314,900 EGP",7/4/2022
1717,Suzuki Swift A/T / without screen (2ton) 2022,"297,400 EGP","trending_up +7,500 EGP","304,900 EGP",7/4/2022
1718,Suzuki Swift Dzire A/T / Top Line 2022,"279,900 EGP","trending_up +4,000 EGP","283,900 EGP",7/4/2022
1719,Suzuki Swift Dzire A/T / Highline 2022,"263,900 EGP","trending_up +20,000 EGP","283,900 EGP",7/4/2022
1720,Suzuki Swift Dzire Manual‏ 2022,"229,900 EGP","trending_up +2,000 EGP","231,900 EGP",7/4/2022
1721,Suzuki Ertiga A/T / GLX 2022,"364,900 EGP","trending_up +10,000  EGP","374,900 EGP",7/4/2022
1722,Suzuki Ciaz A/T / GLX 2022,"344,900 EGP","trending_up +7,000 EGP","351,900 EGP",7/4/2022
1723,Suzuki Ciaz A/T / GL 2022,"314,900 EGP","trending_up +7,000 EGP","321,900 EGP",7/4/2022
1724,Suzuki S Presso M/T / F/O 2022,"187,900 EGP","trending_up +2,000 EGP","189,900 EGP",7/4/2022
1725,Suzuki Vitara A/T / Two tone 2022,"484,900 EGP","trending_up +15,000 EGP","499,900 EGP",7/4/2022
1726,Suzuki Vitara A/T / One tone 2022,"474,900 EGP","trending_up +25,000 EGP","499,900 EGP",7/4/2022
1727,Suzuki Celerio Automtic / GL 2022,"248,900 EGP","trending_up +4,000 EGP","252,900 EGP",7/4/2022
1728,Suzuki Celerio manual‏ / GL Alloy 2022,"231,900 EGP","trending_up +3,000 EGP","234,900 EGP",7/4/2022
1729,Suzuki Celerio manual‏ / GL 2022,"226,900 EGP","trending_up +3,000 EGP","229,900 EGP",7/4/2022
1730,Suzuki Celerio manual‏ / GA 2022,"216,900 EGP","trending_up +3,000 EGP","219,900 EGP",7/4/2022
1731,Suzuki Alto Manual‏ 2022,"159,900 EGP","trending_up +2,000 EGP","161,900 EGP",7/4/2022
1732,Jac J7 A/T / Ultimate 2022,"414,900 EGP","trending_up +10,000 EGP","424,900 EGP",7/3/2022
1733,Jac J7 A/T / Deluxe 2022,"387,900 EGP","trending_up +10,000 EGP","397,900 EGP",7/3/2022
1734,Jac JS4 A/T / Utlimate 2022,"419,900 EGP","trending_up +10,000 EGP","429,900 EGP",7/3/2022
1735,Jac JS4 A/T / Deluxe 2022,"384,900 EGP","trending_up +10,000 EGP","394,900 EGP",7/3/2022
1736,Jac JS3 A/T / Smart 2022,"339,900 EGP","trending_up +5,000 EGP","344,900 EGP",7/3/2022
1737,Nissan Juke A/T / Tekna perso 2022,"486,500 EGP","trending_up +20,000 EGP","506,500 EGP",7/2/2022
1738,Nissan Juke A/T / Tekna Grade 2022,"476,500 EGP","trending_up +20,000 EGP","496,500 EGP",7/2/2022
1739,Nissan Juke A/T / Accenta Grade 2022,"446,500 EGP","trending_up +20,000 EGP","466,500 EGP",7/2/2022
1740,Nissan Qashqai Automtic / Tekna 2022,"614,000 EGP","trending_up +40,000 EGP","654,000 EGP",7/2/2022
1741,Nissan Qashqai Automtic / Acenta premium 2022,"574,000 EGP","trending_up +40,000 EGP","614,000 EGP",7/2/2022
1742,Nissan Qashqai Automtic / Visia 2022,"539,000 EGP","trending_up +40,000 EGP","579,000 EGP",7/2/2022
1743,Chery Tiggo 8 A/T / Luxury 2022,"525,000 EGP","trending_up +15,000 EGP","540,000 EGP",7/2/2022
1744,Chery Tiggo 8 Automtic / COMFORT 2022,"485,000 EGP","trending_up +15,000 EGP","500,000 EGP",7/2/2022
1745,Chery Tiggo 7 pro A/T / Luxury 2022,"505,000 EGP","trending_up +15,000 EGP","520,000 EGP",7/2/2022
1746,Chery Tiggo 7 pro A/T / Comfort 2022,"470,000 EGP","trending_up +15,000 EGP","485,000 EGP",7/2/2022
1747,Chery Tiggo 3 Automtic / Tinted Glass 2023,"320,000 EGP","trending_up +5,000 EGP","325,000 EGP",7/2/2022
1748,Chery Tiggo 7 A/T / Highline 2023,"407,000 EGP","trending_up +8,000 EGP","415,000 EGP",7/2/2022
1749,Chery Tiggo 7 A/T / Baseline 2023,"375,000 EGP","trending_up +5,000 EGP","380,000 EGP",7/2/2022
1750,Chery Arrizo 5 AT / HIGHLINE 2023,"275,000 EGP","trending_up +5,000 EGP","280,000 EGP",7/2/2022
1751,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"260,000 EGP","trending_up  +5,000 EGP","265,000 EGP",7/2/2022
1752,Chery Arrizo 5 Manual / Base Line / Leather 2023,"235,000 EGP","trending_up +5,000 EGP","240,000 EGP",7/2/2022
1753,Chery Arrizo 5 AT / HIGHLINE 2022,"257,000 EGP","trending_up +3,000 EGP","260,000 EGP",7/2/2022
1754,Chery Arrizo 5 AT / BASELINE Leather 2022,"242,000 EGP","trending_up +3,000 EGP","245,000 EGP",7/2/2022
1755,Chery Arrizo 5 Manual / Base Line / Leather 2022,"217,000 EGP","trending_up +3,000 EGP","220,000 EGP",7/2/2022
1756,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2022,"337,000 EGP","trending_up +5,000 EGP","342,000 EGP",7/2/2022
1757,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2022,"324,000 EGP","trending_up +5,000 EGP","329,000 EGP",7/2/2022
1758,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2022,"317,000 EGP","trending_up +5,000 EGP","322,000 EGP",7/2/2022
