,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
2963,JRVR,"James River Group Holdings, Ltd. Common Shares",21.69,Unchanged,,Finance,Property-Casualty Insurers,11.76,"327,761","Mar 11, 2022","Mar 31, 2022",0.41,"Dec 14, 2017",$0.50,False
2964,HOLI,"Hollysys Automation Technologies, Ltd. Common Shares",16.32,-0.05,(-0.31%),Capital Goods,Industrial Machinery/Components,"1,014,308,102","1,490,013",N/A,$0.32,"Apr 25, 2022",N/A,0.85,False
2965,IMGO,"Imago BioSciences, Inc. Common stock",19.88,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"666,550,914","282,916",N/A,N/A,N/A,N/A,3.9,False
2966,AORT,"Artivion, Inc. Common Stock",20.39,Unchanged,,Health Care,Medical/Dental Instruments,"817,955,473","162,242",N/A,N/A,N/A,1.53,,True
2967,MOV,Movado Group Inc. Common Stock,34.9488,-0.0212,(-0.06%),Consumer Non-Durables,Consumer Specialties,"801,316,043","217,612",$3.84,$1.00,"Dec 17, 2021",2.98%,1.18,False
2968,AMTD,"AMTD IDEA Group American Depositary Shares, each representing one Class A Ordinary Share",2.65,-0.11,(-3.99%),Finance,Finance: Consumer Services,"710,130,670","43,971",N/A,N/A,N/A,N/A,-0.13,False
2969,CSV,"Carriage Services, Inc. Common Stock",54.5468,-0.1032,(-0.19%),Miscellaneous,Other Consumer Services,"837,606,232","123,044",$1.86,$0.45,"Mar 1, 2022",0.86%,1.03,False
2970,CDRE,"Cadre Holdings, Inc. Common Stock",24.98,Unchanged,,N/A,N/A,"858,896,083","72,615",N/A,$0.32,"Feb 17, 2022",1.3%,3.88,False
2971,PLOW,"Douglas Dynamics, Inc. Common Stock",34.39,Unchanged,,Capital Goods,Construction/Ag Equipment/Trucks,"790,314,905","86,550",$1.31,$1.16,"Mar 31, 2022",3.35%,0.89,False
2972,VRS,Verso Corporation Common Stock,26.89,-0.02,(-0.07%),Basic Industries,Paper,"783,966,656","238,088",$0.13,$0.40,"Dec 29, 2021",1.49%,1.94,False
2973,CPRX,"Catalyst Pharmaceuticals, Inc. Common Stock",7.8,-0.09,(-1.14%),Health Care,Biotechnology: Pharmaceutical Preparations,"813,597,698","1,173,378",$0.39,N/A,N/A,N/A,1.23,False
2974,PML,Pimco Municipal Income Fund II Common Shares of Beneficial Interest,11.67,+0.06,(+0.52%),Finance,Investment Managers,"738,921,060","285,717",N/A,N/A,N/A,N/A,0.29,False
2975,KELYA,"Kelly Services, Inc. Class A Common Stock",21.35,-0.03,(-0.14%),Technology,Diversified Commercial Services,"842,368,814","184,996",$3.91,$0.20,"Mar 14, 2022",0.95%,1.02,False
2976,KELYB,"Kelly Services, Inc. Class B Common Stock",21.17,-0.03,(-0.14%),Technology,Diversified Commercial Services,"834,094,846",268,$3.91,$0.20,"Mar 14, 2022",0.96%,1.59,False
2977,BNR,Burning Rock Biotech Limited American Depositary Shares,9.05,Unchanged,,Health Care,Medical Specialities,"946,163,825","770,667",N/A,N/A,N/A,-1.54,,True
2978,YEXT,"Yext, Inc. Common Stock",6.73,Unchanged,,Technology,EDP Services,"882,686,516","3,022,878",N/A,N/A,N/A,1.49,,True
2979,CPF,Central Pacific Financial Corp New,28.54,Unchanged,,Finance,Major Banks,"788,720,424","123,585",$2.84,$1.04,"Mar 15, 2022",3.73%,1.2,False
2980,MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock",14.26,-0.04,(-0.28%),Finance,"Trusts, Except Educational, Religious, and Charitable","760,867,797","63,650",N/A,N/A,N/A,N/A,0.28,False
2981,REPL,"Replimune Group, Inc. Common Stock",15.92,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"751,575,956","376,320",N/A,N/A,N/A,2.46,,True
2982,PRTC,PureTech Health plc American Depositary Shares,28.5,+1.56,(+5.79%),Finance,Investment Managers,"820,220,253","7,906",N/A,N/A,N/A,N/A,1,False
2983,GSBC,"Great Southern Bancorp, Inc. Common Stock",61.6942,-0.1358,(-0.22%),Finance,Major Banks,"797,083,053","66,902",$5.45,$1.44,"Jan 11, 2022",2.39%,0.86,False
2984,HLX,"Helix Energy Solutions Group, Inc. Common Stock",4.25,-0.21,(-4.71%),Energy,Oilfield Services/Equipment,"676,299,566","2,258,619",N/A,N/A,N/A,2.95,,True
2985,CISO,Cerberus Cyber Sentinel Corporation Common Stock,5.0,-0.18,(-3.47%),Technology,Computer Software: Prepackaged Software,"697,531,802","660,871",N/A,N/A,N/A,N/A,3.19,False
2986,CBTX,"CBTX, Inc. Common Stock",31.48,Unchanged,,Finance,Major Banks,"774,674,384","106,354",$1.46,$0.52,"Jan 14, 2022",1.66%,0.93,False
2987,ASLE,AerSale Corporation Common Stock,15.55,Unchanged,,Transportation,Aerospace,"803,516,689","250,866",$0.78,N/A,N/A,N/A,0.4,False
2988,SEER,"Seer, Inc. Class A Common Stock",12.96,Unchanged,,Consumer Durables,Specialty Chemicals,"804,858,885","339,443",N/A,N/A,N/A,2.51,,True
2989,PARR,"Par Pacific Holdings, Inc. Common Stock",11.82,Unchanged,,Energy,Integrated oil Companies,"706,997,934","634,032",N/A,N/A,N/A,2.55,,True
2990,NX,Quanex Building Products Corporation Common Stock,23.45,Unchanged,,Basic Industries,Metal Fabrications,"782,934,530","111,416",$1.80,$0.32,"Mar 30, 2022",1.41%,1.56,False
2991,VMO,Invesco Municipal Opportunity Trust Common Stock,11.1,Unchanged,,Finance,"Trusts, Except Educational, Religious, and Charitable","748,301,250","276,906",N/A,N/A,N/A,N/A,0.3,False
2992,TILE,"Interface, Inc. Common Stock",13.72,Unchanged,,N/A,N/A,"813,358,795","228,501",$0.94,$0.04,"Dec 17, 2021",0.31%,1.88,False
2993,UP,Wheels Up Experience Inc. Class A Common Stock,3.24,+0.09,(+2.86%),Transportation,Aerospace,"769,079,395","3,584,919",N/A,N/A,N/A,N/A,0.97,False
2994,CUTR,"Cutera, Inc. Common Stock",43.86,Unchanged,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"792,123,047","237,835",$0.07,N/A,N/A,N/A,1.58,False
2995,CION,CION Investment Corporation Common Stock,14.35,+0.30,(+2.14%),Finance,Finance/Investors Services,"817,353,614","117,274",$1.41,$1.12,"Mar 30, 2022",7.44%,-0.15,False
2996,MOLN,Molecular Partners AG American Depositary Shares,20.53,+0.1535,(+0.75%),N/A,N/A,"657,790,159","6,024",N/A,N/A,N/A,N/A,-0.1,False
2997,PTSI,"P.A.M. Transportation Services, Inc. Common Stock",76.02,Unchanged,,Transportation,Trucking Freight/Courier Services,"843,822,000","33,160",$6.72,N/A,N/A,N/A,1.52,False
2998,WNC,Wabash National Corporation Common Stock,16.34,Unchanged,,Capital Goods,Construction/Ag Equipment/Trucks,"796,665,131","260,631",$0.01,$0.32,"Apr 28, 2022",2.03%,1.62,False
2999,STRC,Sarcos Technology and Robotics Corporation Common Stock,5.97,Unchanged,,Capital Goods,Wholesale Distributors,"852,807,217","101,915",N/A,N/A,N/A,N/A,2.63,False
3000,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,19.28,Unchanged,,N/A,N/A,"730,645,600","40,649",$0.58,$2.10,"Feb 10, 2022",10.86%,2.01,False
3001,SENS,"Senseonics Holdings, Inc. Common Stock",1.75,-0.01,(-0.57%),Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"815,136,747","9,078,561",N/A,N/A,N/A,0.62,,True
3002,WETF,"WisdomTree Investments, Inc. Common Stock",5.45,Unchanged,,Finance,Investment Bankers/Brokers/Service,13.92,"1,520,572","Feb 8, 2022","Feb 23, 2022",1.71,"Nov 6, 2015",$0.25,False
3003,CGBD,"TCG BDC, Inc. Common Stock",14.3,Unchanged,,Finance,Finance Companies,9.03,"166,100","Mar 30, 2022","Apr 15, 2022",1.89,"Mar 30, 2022",$0.08,False
3004,VHI,"Valhi, Inc. Common Stock",28.54,+1.29,(+4.73%),Basic Industries,Multi-Sector Companies,"807,028,234","39,394",$4.46,$0.32,"Mar 29, 2022",1.13%,1.76,False
3005,ETAC,E.Merge Technology Acquisition Corp. Class A Common Stock,9.89,Unchanged,,N/A,N/A,"753,618,000","30,401",N/A,N/A,N/A,N/A,0.08,False
3006,STOK,"Stoke Therapeutics, Inc. Common Stock",21.25,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"793,883,383","1,456,323",N/A,N/A,N/A,0.31,,True
3007,TSCAP,"TriState Capital Holdings, Inc. Dep Shs Rep 1/40th Int 6.75% Srs A Non-Cum Pfd Stock",25.85,+0.84,(+3.36%),Finance,Major Banks,"758,071,180","2,697",N/A,$1.6875,"Apr 1, 2022",6.75%,0.14,False
3008,CTBI,"Community Trust Bancorp, Inc. Common Stock",42.38,Unchanged,,Finance,Major Banks,"757,924,217","64,508",$4.94,$1.60,"Apr 1, 2022",3.8%,0.8,False
3009,SLRC,SLR Investment Corp. Common Stock,18.18,+0.11,(+0.61%),Finance,Finance/Investors Services,"763,653,126","300,801",$1.41,$1.64,"Apr 1, 2022",9.11%,1.15,False
3010,HAFC,Hanmi Financial Corporation Common Stock,25.58,Unchanged,,Finance,Major Banks,"778,091,135","115,361",$3.22,$0.88,"Feb 24, 2022",3.52%,1.13,False
3011,PDT,John Hancock Premium Dividend Fund,15.085,-0.045,(-0.30%),Finance,Finance Companies,"738,355,484","129,270",N/A,N/A,N/A,N/A,0.86,False
3012,ACHR,Archer Aviation Inc. Class A Common Stock,3.88,Unchanged,,Capital Goods,Aerospace,"920,843,481","3,307,445",N/A,N/A,N/A,N/A,0.6,False
3013,MX,Magnachip Semiconductor Corporation Common Stock,17.36,Unchanged,,Technology,Semiconductors,"800,829,403","921,869",$1.16,N/A,N/A,N/A,1.07,False
3014,NWLI,"National Western Life Group, Inc. Class A Common Stock",211.28,+0.83,(+0.39%),Finance,Life Insurance,"768,218,306","7,748",$51.10,$0.36,"Dec 1, 2021",0.17%,1.05,False
3015,BHIL,"Benson Hill, Inc. Common Stock",5.16,+0.05,(+0.98%),N/A,Farming/Seeds/Milling,"909,880,146","634,181",N/A,N/A,N/A,N/A,2.48,False
3016,PHK,Pimco High Income Fund Pimco High Income Fund,5.64,+0.17,(+3.11%),Finance,Finance/Investors Services,"755,218,560","377,317",N/A,N/A,N/A,N/A,0.78,False
3017,IIIN,"Insteel Industries, Inc. Common Stock",38.58,Unchanged,,N/A,N/A,"748,977,537","70,387",$4.16,$0.12,"Mar 25, 2022",0.32%,1.41,False
3018,CAC,Camden National Corporation Common Stock,49.88,Unchanged,,Finance,Major Banks,"735,275,843","56,254",$4.60,$1.60,"Jan 31, 2022",3.24%,0.89,False
3019,SRNE,"Sorrento Therapeutics, Inc. Common Stock",2.37,-0.03,(-1.25%),Health Care,Biotechnology: Commercial Physical & Biological Resarch,"825,138,288","9,230,307",N/A,N/A,N/A,2.37,,True
3020,SATL,Satellogic Inc. Class A Ordinary Shares,8.95,+0.10,(+1.13%),N/A,N/A,"802,638,803","169,213",N/A,N/A,N/A,N/A,,True
3021,CSII,"Cardiovascular Systems, Inc. Common Stock",20.69,Unchanged,,Health Care,Medical/Dental Instruments,"839,578,724","506,342",N/A,N/A,N/A,0.83,,True
3022,CAL,"Caleres, Inc. Common Stock",21.23,Unchanged,,Consumer Non-Durables,Shoe Manufacturing,"808,648,874","1,442,958",$3.55,$0.28,"Apr 8, 2022",1.44%,2.43,False
3023,NUVL,"Nuvalent, Inc. Class A Common Stock",11.67,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"563,473,918","498,377",N/A,N/A,N/A,N/A,4.48,False
3024,BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,9.85,-0.02,(-0.2%),Finance,Business Services,"747,984,375","9,813",N/A,N/A,N/A,N/A,-0.16,False
3025,WIW,Western Asset Inflation-Linked Opportunities & Income Fund,12.1,Unchanged,,Finance,Finance Companies,"740,328,021","123,206",N/A,N/A,N/A,N/A,0.54,False
3026,CIO,"City Office REIT, Inc. Common Stock",17.31,Unchanged,,Consumer Services,Real Estate Investment Trusts,"753,926,231","371,592",$10.81,$0.80,"Jan 25, 2022",4.72%,1.61,False
3027,VIST,"Vista Oil & Gas, S.A.B. de C.V. American Depositary Shares, each representing one series A share, with no par value",7.5,+0.02,(+0.27%),Energy,Oil & Gas Production,"662,951,495","550,238",$0.53,N/A,N/A,N/A,2.7,False
3028,RUTH,"Ruth's Hospitality Group, Inc. Common Stock",22.97,Unchanged,,Consumer Services,Restaurants,"771,225,491","282,517",$1.22,$0.48,"Feb 17, 2022",2.16%,2.15,False
3029,NFBK,"Northfield Bancorp, Inc. Common Stock",15.44,Unchanged,,Finance,Major Banks,13.38,"170,361","Feb 8, 2022","Feb 23, 2022",0.69,"May 6, 2013",$0.25,False
3030,HIFS,Hingham Institution for Savings Common Stock,343.11,Unchanged,,Finance,Major Banks,N/A,"3,087","Dec 31, 2021","Jan 12, 2022",0.96,"Dec 31, 2021",$0.75,False
3031,MBI,MBIA Inc. Common Stock,15.55,Unchanged,,Finance,Property-Casualty Insurers,"849,106,817","415,188",N/A,N/A,N/A,1.06,,True
3032,INDT,"INDUS Realty Trust, Inc.",73.64,+1.63,(+2.26%),Finance,Real Estate,"750,107,571","54,023",$1.21,$0.64,"Apr 15, 2022",0.89%,0.89,False
3033,PLCE,"Children's Place, Inc.",55.05,Unchanged,,Consumer Services,Clothing/Shoe/Accessory Stores,"790,621,989","585,252",$12.59,N/A,"Dec 27, 2019",N/A,2.15,False
3034,AVAN,Avanti Acquisition Corp. Class A Ordinary Shares,9.845,+0.005,(+0.05%),Finance,Business Services,"738,375,000","34,196",N/A,N/A,N/A,N/A,-0.01,False
3035,AIRS,"AirSculpt Technologies, Inc. Common Stock",12.94,Unchanged,,Health Care,Hospital/Nursing Management,"719,983,593","217,002",N/A,N/A,N/A,N/A,6.89,False
3036,TBPH,"Theravance Biopharma, Inc. Ordinary Shares",10.09,+0.10,(+1.00%),Health Care,Biotechnology: Pharmaceutical Preparations,"746,219,903","1,936,498",N/A,N/A,N/A,0.85,,True
3037,HNGR,"Hanger, Inc. Common Stock",18.78,Unchanged,,Health Care,Medical Specialities,"727,087,231","114,501",$1.07,N/A,N/A,N/A,1.34,False
3038,EOCW,Elliott Opportunity II Corp. Class A Ordinary Shares,9.71,+0.02,(+0.21%),N/A,N/A,"739,780,625","102,389",N/A,N/A,N/A,N/A,-0.01,False
3039,PRDO,Perdoceo Education Corporation Common Stock,11.4,Unchanged,,Miscellaneous,Other Consumer Services,"783,734,747","600,816",$1.54,N/A,N/A,N/A,1.2,False
3040,SVFA,SVF Investment Corp. Class A Ordinary Shares,9.76,-0.01,(-0.10%),Finance,Business Services,"737,329,688","537,394",N/A,N/A,N/A,N/A,-0.16,False
3041,ALXO,ALX Oncology Holdings Inc. Common Stock,18.32,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"744,357,813","377,876",N/A,N/A,N/A,2.8,,True
3042,NMCO,Nuveen Municipal Credit Opportunities Fund Common Shares,13.76,+0.17,(+1.25%),Finance,Finance/Investors Services,"733,642,512","101,427",N/A,N/A,N/A,N/A,0.42,False
3043,MMX,Maverix Metals Inc. Common Shares,4.77,-0.15,(-3.05%),N/A,N/A,"695,682,343","343,649",$0.18,$0.05,"Mar 15, 2022",1.04%,0.16,False
3044,FBMS,"First Bancshares, Inc.",35.08,Unchanged,,Finance,Major Banks,"718,642,916","194,922",$3.04,$0.68,"Feb 25, 2022",1.94%,1.14,False
3045,BRG,"Bluerock Residential Growth REIT, Inc. Class A Common Stock",26.48,Unchanged,,Consumer Services,Real Estate Investment Trusts,"776,849,903","114,750",$0.11,$0.65,"Apr 5, 2022",2.46%,1,False
3046,HSII,"Heidrick & Struggles International, Inc. Common Stock",40.63,Unchanged,,Technology,Diversified Commercial Services,"796,003,742","151,621",$3.59,$0.60,"Mar 18, 2022",1.55%,0.77,False
3047,SRRA,"Sierra Oncology, Inc. Common Stock",34.69,+0.11,(+0.32%),Health Care,Biotechnology: Pharmaceutical Preparations,"786,843,002","317,870",N/A,N/A,N/A,0.57,,True
3048,TDUP,ThredUp Inc. Class A Common Stock,7.28,Unchanged,,Consumer Non-Durables,Department/Specialty Retail Stores,"709,742,779","1,405,327",N/A,N/A,N/A,-0.72,,True
3049,HIII,Hudson Executive Investment Corp. III Class A Common Stock,9.77,+0.01,(+0.1%),N/A,N/A,"732,750,000","1,850",N/A,N/A,N/A,N/A,-0.03,False
3050,BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,9.85,Unchanged,,Finance,Business Services,"732,585,762","232,493",N/A,N/A,N/A,N/A,-0.18,False
3051,BRLT,"Brilliant Earth Group, Inc. Class A Common Stock",10.0,+0.19,(+1.94%),Consumer Non-Durables,Consumer Specialties,"928,663,473","842,330",N/A,N/A,N/A,N/A,2.07,False
3052,SVM,Silvercorp Metals Inc. Common Shares,3.8,Unchanged,,N/A,N/A,"673,002,036","1,101,981",$0.19,$0.025,"Dec 15, 2021",0.67%,0.89,False
3053,CAN,Canaan Inc. American Depositary Shares,4.71,-0.05,(-1.05%),Technology,Semiconductors,"817,890,665","18,832,211",$1.70,N/A,N/A,N/A,4.01,False
3054,TNGX,"Tango Therapeutics, Inc.",8.44,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"738,891,869","555,091",N/A,N/A,N/A,N/A,1.78,False
3055,CCRN,"Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value",21.36,Unchanged,,Technology,Diversified Commercial Services,"813,027,795","358,609",$3.53,N/A,N/A,N/A,1.09,False
3056,CNTA,Centessa Pharmaceuticals plc American Depositary Shares,8.4773,-0.0827,(-0.97%),N/A,N/A,"769,551,841","89,304",N/A,N/A,N/A,N/A,2.02,False
3057,BRCC,BRC Inc. Class A Common Stock,16.81,-0.13,(-0.77%),Consumer Non-Durables,Specialty Foods,"745,527,266","961,716",N/A,N/A,N/A,N/A,,True
3058,FWRG,"First Watch Restaurant Group, Inc. Common Stock",13.04,Unchanged,,Consumer Services,Restaurants,"769,991,736","154,324",N/A,N/A,N/A,N/A,-0.85,False
3059,RERE,ATRenew Inc. American Depositary Shares,2.99,Unchanged,,N/A,N/A,"665,678,160","1,660,302",N/A,N/A,N/A,N/A,-1.89,False
3060,SXC,"SunCoke Energy, Inc. Common Stock",8.16,Unchanged,,N/A,N/A,"678,193,414","1,270,099",$0.51,$0.24,"Mar 1, 2022",2.93%,1.12,False
3061,CIFR,Cipher Mining Inc. Common Stock,2.98,+0.02,(+0.68%),Finance,Investment Bankers/Brokers/Service,"740,515,789","541,244",N/A,N/A,N/A,N/A,-1.54,False
3062,AGEN,Agenus Inc. Common Stock,2.66,-0.09,(-3.27%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"707,173,115","4,061,348",N/A,N/A,N/A,1.17,,True
3063,IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,2.2,-0.02,(-0.90%),Consumer Services,Real Estate Investment Trusts,"732,322,012","3,457,248",$0.36,"Jan 10, 2022",16.59%,1.26,,True
3064,JANX,"Janux Therapeutics, Inc. Common Stock",17.14,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"713,221,281","68,515",N/A,N/A,N/A,N/A,3.53,False
3065,TRVG,trivago N.V. American Depositary Shares,2.15,-0.02,(-0.92%),Technology,EDP Services,"778,308,482","710,623",$0.04,N/A,N/A,N/A,1.66,False
3066,SWBI,"Smith & Wesson Brands, Inc. Common Stock",15.7,-0.56,(-3.44%),Consumer Non-Durables,Ordnance And Accessories,"740,000,974","996,211",$4.97,$0.32,"Mar 31, 2022",2%,0.76,False
3067,NSSC,"NAPCO Security Technologies, Inc. Common Stock",20.58,+0.45,(+2.24%),Miscellaneous,Diversified Manufacture,41.58,"70,488",N/A,N/A,N/A,1.36,"Jan 5, 2022",False
3068,WTI,"W&T Offshore, Inc. Common Stock",4.22,-0.04,(-0.94%),Energy,Oil & Gas Production,"609,231,648","5,079,947",N/A,N/A,N/A,2.64,,True
3069,LMACA,Liberty Media Acquisition Corporation Series A Common Stock,9.93,Unchanged,,N/A,N/A,"713,718,750","33,742",N/A,N/A,N/A,N/A,0.17,False
3070,UBP,Urstadt Biddle Properties Inc. Common Stock,18.77,-0.53,(-2.75%),Consumer Services,Real Estate Investment Trusts,"780,205,028","40,737",$0.90,$0.858,"Jan 14, 2022",4.82%,1.05,False
3071,JMIA,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",7.9,-0.10,(-1.25%),Consumer Services,Catalog/Specialty Distribution,"788,740,672","5,922,932",N/A,N/A,N/A,N/A,3.3,False
3072,DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,3.06,Unchanged,,Consumer Services,Real Estate Investment Trusts,25.67,"1,464,762","Jan 21, 2022","Feb 17, 2022",1.41,"Jan 21, 2022",$0.01,False
3073,DSKE,"Daseke, Inc. Common Stock",11.2682,-0.0618,(-0.55%),N/A,N/A,"718,138,341","244,957",$0.75,N/A,N/A,N/A,1.92,False
3074,DAWN,"Day One Biopharmaceuticals, Inc. Common Stock",10.98,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"680,760,000","261,651",N/A,N/A,N/A,N/A,1.67,False
3075,RBAC,RedBall Acquisition Corp. Class A Ordinary Shares,9.91,Unchanged,,Finance,Business Services,"712,281,250","32,666",N/A,N/A,N/A,N/A,0.19,False
3076,COWN,Cowen Inc. Class A Common Stock,28.31,Unchanged,,Finance,Investment Bankers/Brokers/Service,"777,351,522","593,959",$8.75,$0.48,"Mar 15, 2022",1.86%,1.46,False
3077,GOAC,GO Acquisition Corp. Class A Common Stock,9.895,+0.005,(+0.05%),N/A,N/A,"711,203,125","7,451",N/A,N/A,N/A,N/A,0.07,False
3078,CGNT,Cognyte Software Ltd. Ordinary Shares,10.9,Unchanged,,Technology,Computer Software: Prepackaged Software,"730,408,564","268,655",$0.03,N/A,N/A,N/A,1.27,False
3079,RAPT,"RAPT Therapeutics, Inc. Common Stock",21.95,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"649,134,330","369,575",N/A,N/A,N/A,0.63,,True
3080,EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,18.52,-0.03,(-0.16%),Consumer Services,Real Estate Investment Trusts,"734,736,469","74,859",N/A,N/A,N/A,N/A,1.04,False
3081,MVIS,"MicroVision, Inc. Common Stock",3.99,+0.02,(+0.50%),Capital Goods,Industrial Machinery/Components,"653,581,469","4,549,030",N/A,N/A,N/A,3.42,,True
3082,VYGG,Vy Global Growth Class A Ordinary Shares,9.86,Unchanged,,Finance,Business Services,"708,687,500","12,995",N/A,N/A,N/A,N/A,-0.25,False
3083,VNET,"VNET Group, Inc. American Depositary Shares",7.14,+0.14,(+2.00%),Technology,EDP Services,"1,039,166,387","12,648,614",N/A,N/A,N/A,0.23,,True
3084,BOXD,"Boxed, Inc. Common Stock",9.99,-0.01,(-0.10%),Miscellaneous,Diversified Commercial Services,"685,878,670","690,106",N/A,N/A,N/A,N/A,16.43,False
3085,HIVE,Hive Blockchain Technologies Ltd. Common Shares,1.83,-0.03,(-1.61%),N/A,N/A,"762,312,915","6,400,090",$0.40,N/A,N/A,N/A,4.27,False
3086,MSDA,MSD Acquisition Corp. Class A Ordinary Shares,9.76,-0.01,(-0.1%),Finance,Business Services,"701,500,000","64,818",N/A,N/A,N/A,N/A,0.04,False
3087,SCOA,ScION Tech Growth I Class A Ordinary Shares,9.8,Unchanged,,Finance,Business Services,"704,375,000","7,227",N/A,N/A,N/A,N/A,0.01,False
3088,GWH,"ESS Tech, Inc. Common Stock",4.86,+0.61,(+14.35%),Capital Goods,Industrial Machinery/Components,"741,425,727","1,055,521",N/A,N/A,N/A,N/A,1.14,False
3089,ACRE,Ares Commercial Real Estate Corporation Common Stock,15.02,+0.06,(+0.40%),Consumer Services,Real Estate Investment Trusts,"706,442,122","396,945",$1.45,$1.32,"Apr 14, 2022",8.91%,1.25,False
3090,FFIC,Flushing Financial Corporation Common Stock,23.4,+0.33,(+1.43%),Finance,Major Banks,"713,268,106","119,147",$2.60,$0.88,"Mar 25, 2022",3.76%,0.78,False
3092,BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,12.75,Unchanged,,Finance,Finance Companies,"688,636,451","264,064",N/A,N/A,N/A,N/A,0.44,False
3093,LGAC,Lazard Growth Acquisition Corp. I Ordinary Shares,9.77,+0.01,(+0.10%),Finance,Business Services,"701,500,000","1,310",N/A,N/A,N/A,N/A,-0.02,False
3094,SLAM,Slam Corp. Class A Ordinary Share,9.76,+0.01,(+0.1%),Finance,Business Services,"701,500,000","4,374",N/A,N/A,N/A,N/A,-0.02,False
3095,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,20.605,+0.055,(+0.27%),Finance,Finance/Investors Services,"705,659,915","95,200",N/A,N/A,N/A,N/A,0.96,False
3096,VLTA,"Volta, Inc. Class A Common Stock",4.42,+0.03,(+0.68%),Consumer Services,Catalog/Specialty Distribution,"712,034,316","3,334,156",N/A,N/A,N/A,N/A,,True
3097,INO,"Inovio Pharmaceuticals, Inc. Common Stock",3.3,Unchanged,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"717,430,847","5,077,187",N/A,N/A,N/A,0.64,,True
3098,SWIR,"Sierra Wireless, Inc. Common Stock",17.79,+0.15,(+0.85%),Technology,Radio And Television Broadcasting And Communications Equipment,"672,013,692","202,829",N/A,N/A,N/A,1.88,,True
3099,DGII,Digi International Inc. Common Stock,20.33,Unchanged,,Technology,Computer peripheral equipment,"711,430,033","98,292",$0.34,N/A,N/A,N/A,1.55,False
3100,UFCS,"United Fire Group, Inc. Common Stock",28.26,Unchanged,,Finance,Property-Casualty Insurers,"709,246,250","81,627",$3.18,$0.60,"Mar 18, 2022",2.13%,0.02,False
3101,GHLD,Guild Holdings Company Class A Common Stock,11.12,-0.08,(-0.71%),Finance,Finance: Consumer Services,"678,953,073","17,295",$4.68,N/A,N/A,N/A,0.28,False
3102,HTBK,Heritage Commerce Corp Common Stock,11.67,Unchanged,,Finance,Major Banks,"704,537,587","151,586",$0.80,$0.52,"Feb 24, 2022",4.54%,1.12,False
3103,KDNY,"Chinook Therapeutics, Inc. Common Stock",13.75,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"750,904,921","375,852",N/A,N/A,N/A,-0.02,,True
3104,QURE,uniQure N.V. Ordinary Shares,15.89,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"738,201,476","341,408",$6.98,N/A,N/A,N/A,1.05,False
3105,CRGY,Crescent Energy Company Class A Common Stock,15.04,Unchanged,,Energy,Oil & Gas Production,"630,993,950","255,106",$0.48,"Mar 17, 2022",N/A,4.48,,True
3106,NTGR,"NETGEAR, Inc. Common Stock",24.35,Unchanged,,Public Utilities,Telecommunications Equipment,"714,928,662","211,106",$1.57,N/A,N/A,N/A,0.82,False
3107,LBC,Luther Burbank Corporation Common Stock,13.49,+0.10,(+0.75%),Finance,Commercial Banks,"704,571,072","70,096",$1.69,$0.48,"Feb 14, 2022",3.52%,0.79,False
3108,FPAC,Far Peak Acquisition Corporation Class A Ordinary Shares,9.92,+0.01,(+0.1%),Finance,Business Services,"691,920,000","34,137",N/A,N/A,N/A,N/A,0.39,False
3109,VVI,Viad Corp Common Stock,35.2355,-0.0645,(-0.18%),Miscellaneous,Business Services,"725,805,489","207,440",N/A,N/A,N/A,1.89,,True
3110,TCX,Tucows Inc. Class A Common Stock,68.47,Unchanged,,Technology,EDP Services,"736,482,765","29,429",$0.32,N/A,N/A,N/A,0.67,False
